Company Name,Ticker Symbol,Sector,Total ESG Score,Environmental Score,Social Score,Governance Score,Highest Controversy,Overall Risk,Full-time Employees,Market Cap,Revenue Growth,YTD Return
Agilent Technologies,A,Health Care,13.64,1.12,6.42,6.1,2.0,8,17400.0,38415384576,-0.056,-15.10%
Apple Inc.,AAPL,Information Technology,17.22,0.46,7.39,9.37,3.0,1,164000.0,3846819807232,0.061,-10.87%
AbbVie,ABBV,Health Care,29.93,2.38,17.19,10.36,3.0,6,50000.0,310274424832,0.038,16.08%
Abbott Laboratories,ABT,Health Care,24.83,2.27,14.24,8.33,3.0,7,114000.0,198127370240,0.049,16.43%
Arch Capital Group,ACGL,Financials,22.46,1.47,10.1,10.89,2.0,5,6400.0,34234257408,0.418,4.10%
Accenture,ACN,Information Technology,9.84,0.82,4.61,4.41,2.0,2,774000.0,229157109760,0.026,-10.86%
Adobe Inc.,ADBE,Information Technology,13.08,1.94,5.99,5.15,2.0,1,29945.0,196844240896,0.106,-13.83%
Analog Devices,ADI,Information Technology,22.92,9.27,6.68,6.98,1.0,9,26000.0,105105776640,-0.248,-6.25%
Archer Daniels Midland,ADM,Consumer Staples,31.79,16.64,10.15,5.01,3.0,4,40213.0,24161183744,-0.117,-4.57%
Automatic Data Processing,ADP,Industrials,13.82,2.8,5.54,5.49,1.0,2,64000.0,119800504320,0.071,4.72%
Autodesk,ADSK,Information Technology,16.76,3.68,8.19,4.89,0.0,2,14100.0,64247537664,0.119,-10.47%
Ameren,AEE,Utilities,27.17,12.85,9.07,5.25,2.0,7,9372.0,23834001408,0.056,12.93%
American Electric Power,AEP,Utilities,26.14,12.66,8.1,5.38,2.0,2,17250.0,49395404800,0.015,17.50%
AES Corporation,AES,Utilities,26.69,13.26,8.18,5.26,2.0,4,9600.0,9243351040,-0.042,-3.89%
Aflac,AFL,Financials,18.33,0.3,9.14,8.9,1.0,6,12785.0,57047171072,-0.404,8.71%
American International Group,AIG,Financials,24.18,1.65,9.67,12.86,2.0,2,25000.0,45341773824,-0.086,19.24%
Assurant,AIZ,Financials,24.11,1.63,10.82,11.66,2.0,1,13600.0,10886776832,0.07,-0.78%
Arthur J. Gallagher & Co.,AJG,Financials,21.16,0.09,10.92,10.15,2.0,7,51261.0,70719234048,0.119,21.14%
Akamai Technologies,AKAM,Information Technology,17.01,3.0,7.09,6.93,1.0,3,10947.0,14405267456,0.041,-15.73%
Albemarle Corporation,ALB,Materials,26.57,15.39,4.85,6.33,2.0,7,9000.0,10419920896,-0.414,-16.57%
Allstate,ALL,Financials,22.04,1.03,10.13,10.88,2.0,4,53000.0,51255271424,0.147,7.63%
Allegion,ALLE,Industrials,21.78,10.9,5.84,5.04,0.0,6,12200.0,11490313216,0.054,0.24%
Applied Materials,AMAT,Information Technology,12.74,4.49,2.97,5.28,1.0,1,35200.0,133110726656,0.055,-10.43%
Ametek,AME,Industrials,23.9,8.65,8.51,6.73,1.0,8,21500.0,42412634112,0.053,-4.64%
Amgen,AMGN,Health Care,21.96,0.73,13.48,7.75,3.0,2,26700.0,141575438336,0.232,17.76%
Ameriprise Financial,AMP,Financials,20.27,2.08,7.83,10.34,2.0,5,13800.0,51623407616,0.119,-8.22%
Amazon,AMZN,Consumer Discretionary,30.61,6.0,15.39,9.22,3.0,9,1551000.0,2365033807872,0.11,-12.41%
Arista Networks,ANET,Information Technology,16.67,0.4,8.88,7.39,1.0,10,4023.0,142113521664,0.2,-28.99%
Ansys,ANSS,Information Technology,15.89,3.51,7.32,5.07,0.0,2,6400.0,29591330816,0.312,-4.90%
A. O. Smith,AOS,Industrials,25.44,7.15,11.87,6.42,1.0,10,12000.0,9964057600,-0.037,-3.83%
APA Corporation,APA,Energy,38.81,21.98,8.88,7.96,2.0,9,2271.0,7783685632,0.104,-8.49%
Air Products,APD,Materials,12.26,7.42,1.5,3.35,1.0,7,23000.0,65599582208,-0.001,1.18%
Amphenol,APH,Information Technology,19.57,7.32,4.64,7.6,2.0,8,95000.0,85091958784,0.262,-4.87%
Aptiv,APTV,Consumer Discretionary,10.66,1.45,3.94,5.26,1.0,6,154000.0,13834219520,-0.051,-2.20%
Alexandria Real Estate Equities,ARE,Real Estate,13.89,3.91,3.66,6.32,0.0,9,568.0,17331146752,0.109,-6.56%
Atmos Energy,ATO,Utilities,34.61,14.83,13.42,6.36,2.0,8,5019.0,21710899200,0.059,11.25%
AvalonBay Communities,AVB,Real Estate,9.76,2.96,2.05,4.75,1.0,6,2978.0,31600791552,0.094,-2.48%
Broadcom,AVGO,Information Technology,19.98,7.34,6.0,6.64,3.0,9,20000.0,1031217348608,0.164,-27.31%
Avery Dennison,AVY,Materials,16.07,11.42,0.95,3.71,1.0,7,35000.0,15115568128,0.041,-4.05%
American Water Works,AWK,Utilities,21.62,9.04,7.58,5.0,1.0,2,6500.0,24541052928,0.134,18.08%
American Express,AXP,Financials,18.61,0.05,8.85,9.7,2.0,3,74600.0,210382487552,0.08,-8.86%
AutoZone,AZO,Consumer Discretionary,11.02,0.11,7.07,3.83,2.0,6,75600.0,54690828288,0.09,19.09%
Boeing,BA,Industrials,39.6,8.84,22.48,8.29,4.0,9,171000.0,132689018880,-0.015,-4.99%
Bank of America,BAC,Financials,28.3,1.73,15.09,11.48,3.0,2,213000.0,338911100928,-0.005,-5.60%
Ball Corporation,BALL,Materials,12.1,7.6,0.76,3.74,2.0,8,21000.0,16652169216,-0.009,-4.95%
Baxter International,BAX,Health Care,23.57,2.83,13.6,7.14,3.0,4,60000.0,15062345728,0.038,16.67%
Best Buy,BBY,Consumer Discretionary,15.89,2.4,9.09,4.4,2.0,1,85000.0,18290247680,-0.031,-13.32%
Becton Dickinson,BDX,Health Care,23.82,3.04,13.65,7.13,3.0,10,70000.0,66029019136,0.069,-0.37%
Franklin Templeton,BEN,Financials,18.3,1.12,9.88,7.3,2.0,7,10200.0,10736411648,0.113,-4.83%
Bunge Global,BG,Consumer Staples,32.92,14.39,13.26,5.27,3.0,3,23000.0,11044496384,-0.093,0.12%
Biogen,BIIB,Health Care,22.24,0.42,14.46,7.37,3.0,3,7570.0,21343463424,-0.025,-13.66%
BNY Mellon,BK,Financials,20.93,1.13,9.86,9.94,2.0,1,52600.0,56435798016,0.047,9.03%
Booking Holdings,BKNG,Consumer Discretionary,19.23,0.98,10.13,8.13,3.0,1,24200.0,167091666944,0.089,-5.69%
BlackRock,BLK,Financials,18.25,0.9,7.36,9.99,2.0,9,20400.0,159322472448,0.149,-7.90%
Bristol Myers Squibb,BMY,Health Care,22.74,1.31,14.37,7.07,2.0,4,34100.0,116275560448,0.084,5.29%
Broadridge Financial Solutions,BR,Industrials,16.63,4.19,7.5,4.94,2.0,3,14000.0,26418081792,-0.006,8.24%
Brown & Brown,BRO,Financials,20.48,0.13,9.77,10.58,1.0,4,16152.0,29433659392,0.099,21.65%
Boston Scientific,BSX,Health Care,23.11,2.36,11.85,8.89,2.0,8,48000.0,131097174016,0.193,13.35%
Blackstone Inc.,BX,Financials,23.39,2.52,9.57,11.29,2.0,10,4735.0,207208415232,0.541,-17.18%
"BXP, Inc.",BXP,Real Estate,12.51,2.54,4.52,5.45,1.0,10,836.0,13164555264,0.037,-9.95%
Citigroup,C,Financials,29.24,1.8,13.75,13.69,4.0,1,229000.0,130856288256,-0.024,0.21%
Conagra Brands,CAG,Consumer Staples,30.83,10.71,15.42,4.7,2.0,6,18500.0,12940145664,-0.038,-4.14%
Cardinal Health,CAH,Health Care,14.86,1.17,7.33,6.36,3.0,1,47922.0,28624943104,-0.043,15.95%
Caterpillar Inc.,CAT,Industrials,36.17,10.43,17.69,8.06,4.0,6,113200.0,176724836352,-0.042,-8.87%
Chubb Limited,CB,Financials,23.6,1.46,11.54,10.61,2.0,8,40000.0,110126374912,0.078,9.08%
Cboe Global Markets,CBOE,Financials,20.95,2.73,7.58,10.64,1.0,2,1647.0,20058884096,0.162,15.17%
CBRE Group,CBRE,Real Estate,7.98,1.46,1.89,4.64,1.0,3,130000.0,39525285888,0.148,-0.21%
Crown Castle,CCI,Real Estate,10.1,4.08,1.67,4.35,0.0,4,4700.0,39400656896,-0.009,15.26%
Carnival,CCL,Consumer Discretionary,24.49,9.4,10.13,4.96,3.0,10,106000.0,35054399488,0.152,-22.19%
Cadence Design Systems,CDNS,Information Technology,12.02,2.33,4.88,4.81,0.0,3,12703.0,82682068992,0.188,-13.87%
CDW,CDW,Information Technology,9.21,2.48,3.21,3.52,0.0,3,15100.0,23258566656,-0.02,-6.87%
CF Industries,CF,Materials,29.33,16.19,7.73,5.42,1.0,2,2700.0,14788219904,0.076,-6.72%
Citizens Financial Group,CFG,Financials,23.54,1.96,10.15,11.43,2.0,9,17329.0,19148457984,-0.061,-7.24%
Church & Dwight,CHD,Consumer Staples,19.86,6.89,6.31,6.66,1.0,4,5550.0,25994287104,0.038,4.55%
C.H. Robinson,CHRW,Industrials,19.32,4.73,9.29,5.3,1.0,9,14537.0,12333509632,0.07,-0.54%
Charter Communications,CHTR,Communication Services,24.72,6.05,10.72,7.95,2.0,10,101100.0,49977675776,0.016,8.21%
Cigna,CI,Health Care,11.65,0.02,5.99,5.65,2.0,5,70325.0,77026131968,0.28,19.87%
Cincinnati Financial,CINF,Financials,25.61,1.76,10.97,12.88,1.0,8,5426.0,22598461440,0.833,2.61%
Colgate-Palmolive,CL,Consumer Staples,26.17,8.32,11.31,6.54,2.0,1,34000.0,75189518336,0.024,3.29%
Clorox,CLX,Consumer Staples,21.63,7.72,8.59,5.31,2.0,6,7400.0,20354547712,0.271,-8.93%
Comcast,CMCSA,Communication Services,23.09,3.96,10.9,8.23,2.0,10,186000.0,146250366976,0.065,-2.16%
CME Group,CME,Financials,17.8,2.13,6.48,9.19,1.0,10,3565.0,85957140480,0.185,12.92%
Chipotle Mexican Grill,CMG,Consumer Discretionary,20.66,6.79,9.59,4.27,2.0,3,125000.0,84303437824,0.13,-14.31%
Cummins,CMI,Industrials,19.3,5.62,7.74,5.94,2.0,6,75500.0,48203010048,0.003,-9.54%
CMS Energy,CMS,Utilities,21.7,9.61,6.84,5.24,2.0,1,8356.0,19902068736,0.042,12.74%
Centene Corporation,CNC,Health Care,19.89,0.09,13.28,6.51,2.0,1,67700.0,30079856640,0.061,-0.21%
CenterPoint Energy,CNP,Utilities,28.73,12.92,10.67,5.14,2.0,4,8827.0,21207195648,-0.002,15.98%
Capital One,COF,Financials,22.5,0.13,12.28,10.09,3.0,3,52500.0,68156760064,0.064,-0.06%
Cooper Companies (The),COO,Health Care,17.47,2.7,8.8,5.96,2.0,7,15000.0,18649036800,0.078,-11.60%
ConocoPhillips,COP,Energy,33.91,17.57,8.07,8.28,2.0,5,10300.0,123043438592,-0.079,6.27%
Cencora,COR,Health Care,12.75,1.57,5.53,5.65,3.0,3,46000.0,44007923712,0.147,23.47%
Costco,COST,Consumer Staples,23.29,6.52,11.22,5.55,3.0,2,333000.0,423510736896,0.01,4.16%
Campbell Soup Company,CPB,Consumer Staples,23.5,10.87,8.15,4.47,2.0,4,14400.0,12371523584,0.109,-4.73%
Copart,CPRT,Industrials,16.03,1.48,8.96,5.59,1.0,9,13086.0,56096600064,0.072,-0.31%
Camden Property Trust,CPT,Real Estate,16.09,4.0,3.93,8.17,1.0,7,1640.0,12258713600,-0.005,5.07%
Salesforce,CRM,Information Technology,14.88,2.01,7.48,5.39,1.0,9,72682.0,328873050112,0.084,-19.18%
Cisco,CSCO,Information Technology,13.87,0.45,6.9,6.51,2.0,1,90400.0,233071116288,-0.056,4.39%
CoStar Group,CSGP,Real Estate,21.91,4.86,9.34,7.71,1.0,4,6450.0,29287542784,0.109,10.60%
CSX Corporation,CSX,Industrials,21.91,7.04,10.03,4.84,2.0,4,23400.0,61420175360,0.013,-8.46%
Cintas,CTAS,Industrials,18.08,3.03,9.17,5.88,2.0,8,46500.0,75429543936,0.068,13.78%
Coterra,CTRA,Energy,36.07,20.26,8.34,7.47,2.0,6,894.0,17439016960,-0.05,13.82%
Cognizant,CTSH,Information Technology,14.66,1.11,7.64,5.91,2.0,2,340100.0,39284137984,0.03,-0.59%
CVS Health,CVS,Health Care,21.97,0.03,15.76,6.17,3.0,5,219000.0,55823069184,0.06,51.44%
Chevron Corporation,CVX,Energy,36.6,17.01,9.18,10.42,3.0,1,45600.0,254690115584,-0.064,16.34%
Dominion Energy,D,Utilities,26.4,11.94,8.84,5.62,2.0,2,17700.0,45074935808,0.034,4.46%
Delta Air Lines,DAL,Industrials,30.26,9.88,14.57,5.8,2.0,4,100000.0,39316971520,0.012,-29.88%
DuPont,DD,Materials,28.6,14.66,7.99,5.94,3.0,8,24000.0,32299563008,0.044,-1.80%
Deere & Company,DE,Industrials,19.95,2.67,10.79,6.49,2.0,7,83000.0,117453471744,-0.168,12.92%
Discover Financial,DFS,Financials,22.5,0.13,11.87,10.51,2.0,7,21100.0,43475628032,0.605,-1.57%
Dollar General,DG,Consumer Staples,17.59,3.5,8.56,5.53,2.0,9,185800.0,16802347008,0.042,15.54%
Quest Diagnostics,DGX,Health Care,21.21,0.13,13.07,8.0,3.0,3,50000.0,17088257024,0.084,12.21%
Danaher Corporation,DHR,Health Care,11.86,1.35,5.16,5.35,2.0,8,61000.0,165075959808,0.031,-12.70%
Walt Disney Company (The),DIS,Communication Services,15.7,0.04,8.96,6.71,2.0,3,173250.0,202879614976,0.037,-12.28%
Digital Realty,DLR,Real Estate,12.61,2.8,2.81,7.0,0.0,9,3664.0,60376125440,0.016,-17.64%
Dollar Tree,DLTR,Consumer Staples,20.08,3.29,12.78,4.02,2.0,3,65894.0,15684945920,0.007,0.53%
Dover Corporation,DOV,Industrials,25.88,7.98,12.48,5.42,1.0,4,25000.0,25966329856,0.013,-5.93%
Domino's,DPZ,Consumer Discretionary,29.19,10.65,12.2,6.34,2.0,9,6500.0,14716847104,0.031,10.89%
Darden Restaurants,DRI,Consumer Discretionary,27.47,7.92,15.0,4.55,2.0,2,191105.0,22041825280,0.01,12.24%
DTE Energy,DTE,Utilities,29.8,15.03,10.04,4.73,2.0,6,9412.0,24889397248,0.006,14.22%
Duke Energy,DUK,Utilities,27.01,11.52,10.68,4.81,2.0,2,27037.0,83644350464,0.02,12.37%
DaVita,DVA,Health Care,22.56,0.07,14.08,8.42,2.0,2,70000.0,12455345152,0.046,1.58%
Devon Energy,DVN,Energy,33.76,17.67,8.56,7.53,2.0,2,1900.0,20212811776,-0.102,14.79%
Dexcom,DXCM,Health Care,24.05,5.35,10.62,8.08,1.0,4,9500.0,31263223808,0.02,-13.44%
Electronic Arts,EA,Communication Services,13.29,0.13,8.42,4.73,2.0,2,13700.0,38763950080,0.058,-0.43%
eBay,EBAY,Consumer Discretionary,17.6,2.74,7.65,7.21,2.0,5,12300.0,31139790848,0.03,9.44%
Ecolab,ECL,Materials,19.86,8.54,6.05,5.27,2.0,4,48000.0,67474665472,0.178,8.51%
Consolidated Edison,ED,Utilities,23.81,6.86,10.86,6.08,3.0,5,14592.0,31191611392,0.057,23.34%
Equifax,EFX,Industrials,23.16,0.08,16.3,6.78,3.0,6,15000.0,32032915456,0.093,-4.31%
Everest Group,EG,Financials,17.96,1.39,6.67,9.91,1.0,4,2844.0,15327888384,0.128,0.81%
Edison International,EIX,Utilities,27.51,10.98,11.42,5.11,3.0,1,14375.0,30786168832,0.106,-26.42%
Estée Lauder Companies (The),EL,Consumer Staples,25.48,6.95,11.05,7.48,2.0,10,44020.0,26693603328,-0.045,-9.48%
Elevance Health,ELV,Health Care,11.38,0.07,6.03,5.29,2.0,1,104900.0,84874543104,0.054,17.29%
Eastman Chemical Company,EMN,Materials,25.27,12.84,5.85,6.59,2.0,7,14000.0,10636177408,0.087,-3.55%
Emerson Electric,EMR,Industrials,28.36,8.77,13.05,6.55,1.0,8,73000.0,70673096704,0.129,-11.24%
EOG Resources,EOG,Energy,34.16,20.16,6.67,7.33,1.0,2,3050.0,66954047488,-0.039,5.48%
Equinix,EQIX,Real Estate,13.88,3.44,5.31,5.13,1.0,5,13151.0,89465782272,0.189,-13.36%
Equity Residential,EQR,Real Estate,11.91,2.98,2.87,6.05,1.0,8,2400.0,27904485376,0.034,-0.67%
EQT Corporation,EQT,Energy,35.69,17.66,10.08,7.95,1.0,4,881.0,25651447808,0.195,16.85%
Eversource,ES,Utilities,18.62,4.67,8.56,5.39,2.0,8,10000.0,20866592768,0.097,8.11%
Essex Property Trust,ESS,Real Estate,12.44,3.46,2.84,6.13,1.0,8,1747.0,18898388992,0.076,7.03%
Eaton Corporation,ETN,Industrials,17.94,5.46,6.76,5.72,1.0,3,94000.0,133625020416,0.079,-16.62%
Entergy,ETR,Utilities,26.67,14.04,7.3,5.32,2.0,3,12000.0,32216944640,-0.057,12.98%
Edwards Lifesciences,EW,Health Care,18.57,2.86,8.08,7.63,1.0,3,19800.0,44122935296,0.089,-2.92%
Exelon,EXC,Utilities,22.86,7.38,9.05,6.44,3.0,1,19962.0,37198807040,0.029,22.00%
Expeditors International,EXPD,Industrials,16.56,4.15,7.56,4.84,2.0,8,18690.0,15604525056,0.37,10.35%
Expedia Group,EXPE,Consumer Discretionary,27.65,4.27,13.31,10.08,2.0,10,17100.0,23711924224,0.033,-10.00%
Extra Space Storage,EXR,Real Estate,15.2,4.23,3.72,7.26,1.0,8,7618.0,32422465536,0.12,-1.18%
Ford Motor Company,F,Consumer Discretionary,22.35,7.43,6.41,8.51,3.0,10,177000.0,39265984512,0.055,0.40%
Fastenal,FAST,Industrials,24.67,9.28,8.29,7.1,2.0,3,20894.0,42863333376,0.035,7.93%
Freeport-McMoRan,FCX,Materials,31.61,15.26,9.96,6.4,4.0,3,27200.0,55839100928,0.166,0.13%
FactSet,FDS,Financials,18.37,4.32,8.75,5.3,1.0,6,12398.0,18368344064,0.049,-4.85%
FedEx,FDX,Industrials,19.68,5.66,8.42,5.61,2.0,7,306000.0,66409852928,0.139,-13.99%
FirstEnergy,FE,Utilities,25.56,10.77,8.99,5.79,3.0,7,12042.0,22931654656,0.069,1.56%
Fiserv,FI,Financials,19.64,4.12,8.74,6.77,2.0,1,42000.0,117225758720,0.07,8.08%
Fidelity National Information Services,FIS,Financials,17.48,4.09,8.17,5.21,1.0,6,60000.0,43854315520,0.031,-7.68%
Fifth Third Bank,FITB,Financials,16.84,1.19,8.15,7.5,2.0,6,18579.0,28500453376,-0.03,-7.92%
Federal Realty,FRT,Real Estate,12.42,2.27,4.34,5.82,1.0,4,297.0,9579524096,0.058,-13.36%
Fortinet,FTNT,Information Technology,18.9,2.5,10.03,6.37,1.0,6,13986.0,74491568128,0.13,2.32%
Fortive,FTV,Industrials,34.76,16.09,13.97,4.7,1.0,6,18000.0,25830350848,0.027,-2.00%
General Dynamics,GD,Industrials,35.19,9.37,18.9,6.93,3.0,2,100000.0,72492826624,0.104,4.04%
GE Aerospace,GE,Industrials,40.55,14.24,15.41,10.9,3.0,4,125000.0,182225174528,0.058,22.18%
Gen Digital,GEN,Information Technology,16.94,3.35,8.2,5.39,2.0,1,3400.0,17151517696,0.031,-2.34%
Gilead Sciences,GILD,Health Care,22.97,1.0,14.34,7.62,2.0,2,18000.0,115367206912,0.07,20.47%
General Mills,GIS,Consumer Staples,21.13,8.32,8.72,4.09,2.0,6,34000.0,35063803904,-0.012,-6.35%
Globe Life,GL,Financials,20.35,1.58,8.28,10.49,2.0,4,3636.0,9182754816,0.052,18.48%
Corning Inc.,GLW,Information Technology,16.48,5.53,4.81,6.13,2.0,7,49800.0,40507248640,0.069,-4.17%
General Motors,GM,Consumer Discretionary,28.5,9.83,11.48,7.19,4.0,9,163000.0,56970276864,0.105,-11.28%
Alphabet Inc. (Class A),GOOGL,Communication Services,24.22,1.56,11.16,11.51,4.0,10,181269.0,2351625142272,0.151,-17.03%
Genuine Parts Company,GPC,Consumer Discretionary,13.66,4.67,5.18,3.8,2.0,6,60000.0,16090636288,0.025,1.45%
Global Payments,GPN,Financials,20.87,3.65,10.68,6.54,1.0,7,27000.0,28511076352,0.051,-12.15%
Garmin,GRMN,Consumer Discretionary,20.66,4.78,11.63,4.25,1.0,9,19900.0,40131305472,0.241,5.48%
Goldman Sachs,GS,Financials,25.45,0.88,12.76,11.82,2.0,6,46400.0,177704452096,0.042,-4.22%
W. W. Grainger,GWW,Industrials,16.0,4.54,5.55,5.91,2.0,5,23200.0,53227368448,0.043,-5.69%
Halliburton,HAL,Energy,25.63,9.79,8.9,6.94,2.0,4,48000.0,22814697472,-0.018,-6.03%
Hasbro,HAS,Consumer Discretionary,7.08,0.04,2.88,4.16,2.0,3,5502.0,8032467456,-0.148,11.14%
Huntington Bancshares,HBAN,Financials,21.84,1.97,11.19,8.68,2.0,9,19896.0,23709857792,-0.012,-8.11%
HCA Healthcare,HCA,Health Care,28.84,3.9,17.72,7.22,3.0,5,220000.0,76906029056,0.079,15.19%
Home Depot (The),HD,Consumer Discretionary,12.64,3.32,5.56,3.76,2.0,2,465000.0,389994315776,0.066,-6.03%
Hess Corporation,HES,Energy,33.11,18.93,7.2,6.98,2.0,9,1756.0,39497650176,0.133,21.26%
Hartford (The),HIG,Financials,16.63,1.81,7.24,7.58,1.0,4,18700.0,31734368256,0.095,13.70%
Hilton Worldwide,HLT,Consumer Discretionary,17.56,6.11,7.0,4.45,2.0,6,178000.0,60803608576,0.063,-8.04%
Hologic,HOLX,Health Care,25.0,4.57,12.08,8.35,1.0,7,6990.0,16260322304,0.045,-14.86%
Honeywell,HON,Industrials,28.62,10.99,10.59,7.04,3.0,6,95000.0,148464402432,0.056,-5.51%
Hewlett Packard Enterprise,HPE,Information Technology,10.69,0.95,4.14,5.6,2.0,2,62000.0,28424284160,0.101,-26.74%
HP Inc.,HPQ,Information Technology,11.26,0.11,5.05,6.09,2.0,1,58000.0,30891065344,0.024,-14.83%
Hormel Foods,HRL,Consumer Staples,30.0,13.31,10.68,6.0,3.0,8,20000.0,17392732160,-0.022,-2.01%
Henry Schein,HSIC,Health Care,13.95,2.0,5.67,6.28,2.0,5,26000.0,8705227776,0.004,-0.19%
Host Hotels & Resorts,HST,Real Estate,13.35,3.25,4.58,5.52,1.0,9,163.0,12895228928,0.092,-17.58%
Hershey Company (The),HSY,Consumer Staples,26.05,10.52,10.4,5.14,3.0,10,18650.0,34452963328,-0.014,0.16%
Hubbell Incorporated,HUBB,Industrials,19.6,5.6,9.09,4.91,0.0,3,18000.0,22906568704,0.049,-20.54%
Humana,HUM,Health Care,22.47,0.01,16.71,5.74,2.0,1,67600.0,29753559040,0.113,4.35%
IBM,IBM,Information Technology,14.14,1.78,6.22,6.14,2.0,4,282200.0,206528708608,0.015,13.88%
Intercontinental Exchange,ICE,Financials,19.78,1.7,9.25,8.82,1.0,4,12900.0,86304546816,0.173,15.09%
Idexx Laboratories,IDXX,Health Care,18.66,2.62,7.1,8.94,1.0,6,11000.0,33757788160,0.066,1.24%
IDEX Corporation,IEX,Industrials,29.34,10.28,13.72,5.34,0.0,6,8800.0,16082113536,0.006,-13.45%
International Flavors & Fragrances,IFF,Materials,22.69,10.49,5.57,6.63,3.0,4,21500.0,21922174976,0.037,-8.42%
Incyte,INCY,Health Care,24.76,1.06,16.3,7.41,1.0,7,2524.0,13262025728,0.238,-11.81%
Intel,INTC,Information Technology,18.87,4.93,7.32,6.62,3.0,5,124100.0,84189757440,-0.062,9.98%
Intuit,INTU,Information Technology,16.41,0.97,10.7,4.73,2.0,2,18800.0,180095795200,0.41,-2.34%
International Paper,IP,Materials,24.47,15.15,4.5,4.81,3.0,5,39000.0,18916366336,0.016,-0.32%
Interpublic Group of Companies (The),IPG,Communication Services,10.32,0.04,5.0,5.28,1.0,10,55100.0,10829010944,-0.029,-6.78%
IQVIA,IQV,Health Care,19.14,1.3,10.62,7.22,2.0,8,88000.0,35804504064,0.043,-12.86%
Iron Mountain,IRM,Real Estate,14.5,5.0,3.74,5.76,2.0,5,27000.0,30842646528,0.122,-17.33%
Intuitive Surgical,ISRG,Health Care,21.07,3.65,9.58,7.84,1.0,3,13676.0,186790952960,0.169,-4.90%
